                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 0.5782,                 0.3072,                0.97409,                0.99378,                0.99523,                0.99316,                0.86957,                0.57752,                0.23246,                0.96755,             0.00017852,             0.00017852,             0.00017852
                    103,                0.58466,                0.30876,                0.97482,                0.99369,                0.99702,                0.99249,                0.86827,                0.59776,                0.24078,                0.98583,             0.00017675,             0.00017675,             0.00017675
                    104,                0.57654,                0.30797,                0.96467,                0.99279,                0.99804,                0.99322,                0.86975,                0.57889,                0.23553,                0.96999,             0.00017498,             0.00017498,             0.00017498
                    105,                0.57373,                0.30388,                0.96283,                0.99513,                0.99685,                0.99427,                 0.8677,                 0.5932,                0.23573,                 0.9755,             0.00017322,             0.00017322,             0.00017322
                    106,                0.57876,                0.30514,                 0.9698,                0.99372,                 0.9983,                0.99412,                 0.8723,                 0.5746,                0.22622,                   0.97,             0.00017145,             0.00017145,             0.00017145
                    107,                0.57491,                0.29969,                0.96689,                0.99382,                 0.9984,                0.99411,                0.87424,                 0.5855,                0.23472,                0.96941,             0.00016968,             0.00016968,             0.00016968
                    108,                0.57218,                0.30394,                0.96398,                0.99373,                0.99795,                0.99362,                0.87216,                0.58095,                0.22736,                 0.9664,             0.00016791,             0.00016791,             0.00016791
                    109,                0.57316,                0.30627,                0.96846,                 0.9938,                0.99726,                0.99416,                0.87328,                0.57694,                0.23268,                0.96716,             0.00016615,             0.00016615,             0.00016615
                    110,                0.57464,                0.30316,                0.96807,                0.99518,                0.99715,                0.99483,                0.87526,                0.57312,                0.23137,                0.96358,             0.00016438,             0.00016438,             0.00016438
                    111,                0.57296,                0.30275,                0.96216,                 0.9937,                0.99856,                0.99483,                0.87511,                0.58187,                0.23402,                0.97229,             0.00016261,             0.00016261,             0.00016261
                    112,                0.57575,                0.30567,                0.96634,                0.99505,                 0.9984,                0.99362,                0.87839,                0.57809,                0.22802,                0.97037,             0.00016085,             0.00016085,             0.00016085
                    113,                0.56161,                0.29743,                0.96804,                0.99293,                 0.9984,                0.99379,                0.87902,                0.58287,                0.23089,                0.96617,             0.00015908,             0.00015908,             0.00015908
                    114,                0.56109,                0.30046,                0.95586,                0.99445,                 0.9984,                0.99454,                0.87559,                0.57753,                0.23252,                0.96306,             0.00015731,             0.00015731,             0.00015731
                    115,                0.56539,                0.30303,                0.96561,                0.99341,                 0.9984,                0.99355,                0.87532,                0.57334,                0.22646,                0.96637,             0.00015554,             0.00015554,             0.00015554
